iloϾ;typ;czas bubble;czas counting;czas merge;czas quick;czas selection;czas shell;
1;random;0,008;0,0009;0,0004;0,0003;0,0003;0,0003;
2;random;0,002;0,0011;0,0005;0,0003;0,0003;0,0003;
3;random;0,0013;0,0009;0,0007;0,0004;0,0005;0,0004;
4;random;0,0011;0,0011;0,0008;0,0005;0,0005;0,0004;
5;random;0,0008;0,001;0,0008;0,0005;0,0004;0,0004;
6;random;0,0013;0,001;0,0009;0,0006;0,0005;0,0005;
7;random;0,0015;0,0052;0,0011;0,0007;0,0006;0,0006;
8;random;0,0013;0,001;0,0011;0,0007;0,0007;0,0006;
9;random;0,0013;0,0014;0,0014;0,0007;0,0007;0,0006;
10;random;0,0011;0,0009;0,0011;0,0006;0,0005;0,0005;
11;random;0,0013;0,001;0,0013;0,0007;0,0007;0,0007;
12;random;0,0025;0,0068;0,002;0,0011;0,001;0,0008;
13;random;0,0023;0,0013;0,0018;0,0012;0,001;0,001;
14;random;0,0022;0,0013;0,002;0,001;0,0012;0,0011;
15;random;0,0025;0,0014;0,0023;0,0016;0,0012;0,001;
16;random;0,0026;0,0015;0,0027;0,0012;0,0014;0,0012;
17;random;0,0027;0,0016;0,0024;0,0015;0,0015;0,0013;
18;random;0,003;0,0015;0,0033;0,0015;0,0018;0,0013;
19;random;0,0033;0,006;0,0027;0,0017;0,0017;0,0015;
20;random;0,0034;0,0016;0,0029;0,0017;0,0019;0,0017;
21;random;0,0033;0,0014;0,003;0,0017;0,0035;0,0017;
22;random;0,0051;0,0068;0,0039;0,0018;0,0019;0,0016;
23;random;0,004;0,0017;0,0034;0,0019;0,0022;0,0017;
24;random;0,0043;0,0018;0,0214;0,0023;0,0021;0,0019;
25;random;0,0039;0,0018;0,0034;0,0026;0,0029;0,0022;
26;random;0,005;0,0019;0,0123;0,0021;0,0027;0,0022;
27;random;0,0049;0,0035;0,0042;0,0039;0,0031;0,002;
28;random;0,0066;0,0019;0,0043;0,0025;0,0042;0,0022;
29;random;0,0056;0,002;0,0045;0,0027;0,0032;0,0025;
30;random;0,0058;0,0021;0,0049;0,0028;0,0035;0,0024;
31;random;0,006;0,0055;0,0049;0,0028;0,0037;0,0027;
32;random;0,0083;0,0023;0,0054;0,0033;0,0038;0,0025;
33;random;0,0067;0,0068;0,0043;0,0029;0,004;0,0031;
34;random;0,0074;0,0022;0,0054;0,0031;0,0043;0,0032;
35;random;0,0075;0,0065;0,005;0,003;0,0041;0,0031;
36;random;0,008;0,0022;0,0066;0,0036;0,0048;0,0035;
37;random;0,0083;0,0079;0,0056;0,0033;0,0041;0,0028;
38;random;0,0085;0,0023;0,0062;0,0036;0,005;0,0031;
39;random;0,0083;0,0022;0,0066;0,0036;0,005;0,003;
40;random;0,0096;0,0026;0,0099;0,0039;0,0051;0,0034;
41;random;0,0257;0,0036;0,0223;0,0054;0,0087;0,0054;
42;random;0,0158;0,0035;0,0104;0,0058;0,0089;0,0056;
43;random;0,0183;0,0036;0,0175;0,0057;0,0101;0,0051;
44;random;0,0158;0,0035;0,0161;0,006;0,0128;0,0066;
45;random;0,0169;0,0041;0,0119;0,0064;0,0098;0,0058;
46;random;0,0165;0,0036;0,0186;0,0062;0,0093;0,0055;
47;random;0,02;0,0044;0,0185;0,0065;0,0093;0,0065;
48;random;0,0151;0,0029;0,0078;0,0058;0,0099;0,0063;
49;random;0,0128;0,006;0,0073;0,0046;0,0076;0,0051;
50;random;0,0153;0,0029;0,0145;0,0054;0,0098;0,0049;
51;random;0,0128;0,0025;0,0113;0,0045;0,008;0,0043;
52;random;0,0133;0,0029;0,0089;0,005;0,0081;0,0045;
53;random;0,0134;0,0066;0,0085;0,005;0,0219;0,0043;
54;random;0,0144;0,0026;0,0125;0,005;0,0085;0,0048;
55;random;0,0144;0,0027;0,0124;0,0052;0,009;0,0049;
56;random;0,0145;0,003;0,0084;0,0051;0,0092;0,0056;
57;random;0,0154;0,0032;0,0087;0,0048;0,0093;0,0057;
58;random;0,0163;0,0069;0,0089;0,005;0,0093;0,0052;
59;random;0,0161;0,003;0,0129;0,0056;0,0103;0,0057;
60;random;0,0166;0,0027;0,0136;0,006;0,0102;0,0051;
61;random;0,0201;0,0029;0,014;0,0056;0,0176;0,0052;
62;random;0,0202;0,0028;0,0173;0,0053;0,0105;0,006;
63;random;0,0196;0,0029;0,0145;0,0056;0,0114;0,0055;
64;random;0,0218;0,0032;0,0158;0,0057;0,0261;0,0079;
65;random;0,023;0,0137;0,0157;0,0112;0,0408;0,0062;
66;random;0,0236;0,0032;0,0349;0,0058;0,0184;0,0067;
67;random;0,0244;0,0033;0,0168;0,0062;0,0126;0,0076;
68;random;0,0207;0,0031;0,0161;0,0067;0,0128;0,0071;
69;random;0,0255;0,0032;0,0174;0,0066;0,0134;0,0075;
70;random;0,0337;0,004;0,0256;0,0084;0,0163;0,0086;
71;random;0,0344;0,0038;0,0224;0,0087;0,0171;0,0097;
72;random;0,0331;0,0039;0,0216;0,0165;0,0174;0,0083;
73;random;0,0312;0,0037;0,0245;0,0086;0,0177;0,0101;
74;random;0,0306;0,0038;0,0217;0,0085;0,017;0,0093;
75;random;0,0309;0,0042;0,0212;0,0096;0,0184;0,009;
76;random;0,0282;0,0037;0,0184;0,0078;0,0172;0,0081;
77;random;0,0301;0,003;0,0173;0,0074;0,0167;0,0083;
78;random;0,0313;0,0039;0,1794;0,0496;0,0185;0,009;
79;random;0,03;0,0075;0,0137;0,0078;0,0205;0,0076;
80;random;0,0348;0,0088;0,0137;0,0082;0,0187;0,0094;
81;random;0,0353;0,0085;0,0138;0,0074;0,0175;0,0095;
82;random;0,0301;0,0081;0,0143;0,0085;0,0216;0,0091;
83;random;0,0385;0,009;0,0867;0,0083;0,0189;0,0085;
84;random;0,0376;0,0081;0,0134;0,0087;0,0188;0,009;
85;random;0,0313;0,0081;0,0134;0,0083;0,018;0,0091;
86;random;0,0378;0,0089;0,0157;0,0084;0,02;0,0095;
87;random;0,0352;0,008;0,0144;0,0088;0,0203;0,0104;
88;random;0,0372;0,0074;0,015;0,0088;0,0219;0,0101;
89;random;0,0548;0,0092;0,0158;0,0094;0,0225;0,0097;
90;random;0,0363;0,0037;0,0189;0,0096;0,0229;0,0103;
91;random;0,0525;0,0038;0,0233;0,0087;0,0214;0,0094;
92;random;0,0451;0,0111;0,0167;0,0094;0,0236;0,0099;
93;random;0,0409;0,0034;0,0206;0,0101;0,0231;0,01;
94;random;0,0629;0,0048;0,1613;0,0104;0,0222;0,0109;
95;random;0,0498;0,0109;0,0174;0,0094;0,025;0,01;
96;random;0,053;0,0039;0,0226;0,0293;0,038;0,0118;
97;random;0,0424;0,0079;0,0178;0,0103;0,0253;0,0112;
98;random;0,0432;0,0043;0,0348;0,0098;0,025;0,0111;
99;random;0,0486;0,0037;0,0241;0,0092;0,0256;0,0118;
100;random;0,0621;0,0315;0,0221;0,0099;0,0259;0,0115;
1;const;0,0012;0,0008;0,0003;0,0003;0,0003;0,0003;
2;const;0,001;0,0016;0,0005;0,0004;0,0003;0,0004;
3;const;0,0015;0,0007;0,0007;0,0004;0,0005;0,0004;
4;const;0,0015;0,0009;0,0008;0,0005;0,0005;0,0004;
5;const;0,0015;0,0008;0,001;0,0005;0,0006;0,0005;
6;const;0,0016;0,0008;0,0011;0,0006;0,0006;0,0005;
7;const;0,0017;0,0009;0,0013;0,0005;0,0007;0,0005;
8;const;0,0017;0,0009;0,0071;0,0008;0,0008;0,0006;
9;const;0,0018;0,0011;0,0015;0,0007;0,0008;0,0007;
10;const;0,0019;0,0009;0,0018;0,0008;0,0008;0,0006;
11;const;0,0023;0,0018;0,0022;0,0009;0,001;0,0008;
12;const;0,0019;0,0009;0,0019;0,0007;0,0008;0,0005;
13;const;0,0019;0,001;0,0062;0,001;0,0011;0,0006;
14;const;0,002;0,0007;0,0022;0,0007;0,0009;0,0006;
15;const;0,002;0,0011;0,0023;0,0009;0,0012;0,0007;
16;const;0,0022;0,0008;0,011;0,0012;0,0014;0,0008;
17;const;0,0022;0,0011;0,0027;0,0011;0,0013;0,0008;
18;const;0,0025;0,0012;0,0028;0,0011;0,0013;0,0008;
19;const;0,0027;0,001;0,0085;0,0014;0,0016;0,0009;
20;const;0,0027;0,0018;0,0033;0,0014;0,0017;0,0009;
21;const;0,0029;0,0016;0,0035;0,0013;0,002;0,0011;
22;const;0,0026;0,001;0,0083;0,0012;0,0017;0,0009;
23;const;0,0028;0,0014;0,0033;0,0012;0,0019;0,001;
24;const;0,0027;0,0015;0,0032;0,0014;0,0019;0,0009;
25;const;0,0027;0,0082;0,0039;0,0013;0,0019;0,0008;
26;const;0,0029;0,001;0,0036;0,0012;0,002;0,0009;
27;const;0,003;0,0017;0,0096;0,0013;0,0022;0,0014;
28;const;0,0031;0,0016;0,0055;0,0014;0,0023;0,0009;
29;const;0,0046;0,0008;0,0038;0,0013;0,0025;0,001;
30;const;0,0051;0,0058;0,0033;0,0012;0,0041;0,0012;
31;const;0,0035;0,0011;0,0039;0,0015;0,0043;0,0016;
32;const;0,0035;0,0009;0,0075;0,0016;0,0464;0,0014;
